"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000124177.15",874.600459408286,-0.00672821111677362,0.0298711920784799,0.05165088232161,0.820215117464918,0.912981979044426,"CHD6","84181"
"ENSG00000188107.15",2.25295267801193,-0.035554723423942,0.149594502193758,0.0516338189509611,0.82024430906475,0.912981979044426,"EYS","346007"
"ENSG00000204514.10",24.42143321199,0.0255303275781149,0.101204352164763,0.0514832561954108,0.820502108315461,0.913198013867056,"ZNF814","730051"
"ENSG00000169224.13",0.233752805148321,-0.132595824275979,0.691200026427729,0.0514494157536802,0.820560105738469,NA,"GCSAML","148823"
"ENSG00000187908.19",7.33509464180691,7.18256929904455,1.0221664515142,0.0513615323953687,0.820710818320417,0.91327963725601,"DMBT1","1755"
"ENSG00000155097.12",1064.15353340966,-0.00695337038547124,0.0308341535227618,0.0513442440606013,0.820740482316539,0.91327963725601,"ATP6V1C1","528"
"ENSG00000163125.15",537.188496895994,0.00636852768510052,0.0282502325471403,0.0513290314612505,0.820766589028319,0.91327963725601,"RPRD2","23248"
"ENSG00000151023.17",0.284053973601751,-0.0583401150937639,0.522958537982609,0.0512804091776573,0.820850058197321,NA,"ENKUR","219670"
"ENSG00000134460.18",0.612524523119426,0.0634922548309712,0.259064175855374,0.0512165780009468,0.820959699431907,NA,"IL2RA","3559"
"ENSG00000250506.7",17.7315330695235,-0.0207736191592414,0.0948449537320983,0.0512140708963784,0.820964007288958,0.913379037246635,"CDK3","1018"
"ENSG00000283765.1",4.41109346237769,0.107825160654761,0.412702424993799,0.0512028073550255,0.820983362347262,0.913379037246635,NA,NA
"ENSG00000286094.1",1.7435026642322,0.155583246725272,0.321005206659562,0.0510870453465202,0.821182415441355,0.913518185816937,NA,NA
"ENSG00000004455.17",916.846309571818,-0.00621963593541211,0.0272574234015139,0.0510559661037746,0.821235896639951,0.913518185816937,"AK2","204"
"ENSG00000150275.18",0.0653074777533285,-0.102484969478228,1.02888780323229,0.0510310958925793,0.821278705654015,NA,"PCDH15","65217"
"ENSG00000165507.9",0.339925742043272,-0.0837667952396862,0.327355494706161,0.0508814153144357,0.821536582218011,NA,"DEPP1","11067"
"ENSG00000091436.17",740.228202775104,-0.00740627478157247,0.0336184213339509,0.050875944862355,0.82154601450923,0.913735691087044,"MAP3K20","51776"
"ENSG00000163633.12",14.8655534461572,0.0213389480594363,0.0924601953077731,0.0508412679405978,0.821605817730404,0.913735691087044,"C4orf36","132989"
"ENSG00000187187.14",11.9520591934609,0.0274340117262077,0.113710621459402,0.0508314995762476,0.821622667951787,0.913735691087044,"ZNF546","339327"
"ENSG00000171136.7",0.0389590816721039,0.142467906894108,1.02879398472238,0.0507179450039459,0.821818672158623,NA,"RLN3","117579"
"ENSG00000203812.2",0.769030114183241,0.260772719980316,1.02430161699593,0.0507104332068806,0.821831646243172,NA,NA,NA
"ENSG00000205755.12",2.36187327414353,0.0328101023912304,0.142272733818221,0.0506973253333456,0.821854288072272,0.913922371235683,"CRLF2","64109"
"ENSG00000186081.12",0.107996304930142,-0.0911642037164735,1.02929361834424,0.0506919554665295,0.82186356457669,NA,"KRT5","3852"
"ENSG00000151687.14",7.17167457987297,-0.0196243290538818,0.0870989326711141,0.0506497896267319,0.821936424481303,0.913935444777039,"ANKAR","150709"
"ENSG00000185818.8",30.650124528171,-0.0109282783997922,0.0493592023688544,0.0506167341511627,0.821993564536458,0.913935444777039,"NAT8L","339983"
"ENSG00000110900.15",0.104979852281648,0.116148162527792,1.02902926555909,0.0506079301725535,0.822008786495248,NA,"TSPAN11","441631"
"ENSG00000117322.17",0.377811292306428,-0.0460526382318644,0.385321084873269,0.0505993411690469,0.822023638105591,NA,"CR2","1380"
"ENSG00000100532.12",155.164804287298,-0.0101058932125732,0.0442622901841908,0.0505529239897555,0.822103922945732,0.913987251338255,"CGRRF1","10668"
"ENSG00000182013.18",0.335058035402453,0.0691777171557816,0.335846218447101,0.0504210477737956,0.822332232353311,NA,"PNMA8A","55228"
"ENSG00000114473.14",48.3747419106941,-0.0117841522047911,0.0529262745235804,0.0503776882681564,0.822407366571056,0.914253698807935,"IQCG","84223"
"ENSG00000162576.16",0.224237017692087,-0.0482581127022245,0.530786728830422,0.0503752988662427,0.822411507961612,NA,"MXRA8","54587"
"ENSG00000196341.3",0.0709714245902854,0.140378471083766,1.02925146042967,0.0503609074755715,0.822436453778903,NA,"OR8D1","283159"
"ENSG00000135390.20",1596.58394526429,-0.00716605542617217,0.030892227029524,0.0503028612822618,0.822537108187938,0.914327018903909,"ATP5MC2","517"
"ENSG00000156920.11",0.0374059752872384,0.162141624614789,1.02929361834424,0.0502350058712224,0.822654849529727,NA,"ADGRG4","139378"
"ENSG00000139131.13",145.059616342519,0.00508557631461623,0.022483050997475,0.050199443808026,0.822716589460211,0.914455613626137,"YARS2","51067"
"ENSG00000180509.12",0.192429927160056,0.0577153870053535,0.608792396197886,0.0501970973012362,0.822720664079977,NA,"KCNE1","3753"
"ENSG00000204128.6",5.96777040815918,0.0191786336016435,0.0871000919597259,0.0501310782934752,0.822835344593769,0.91451669608491,"C2orf72","257407"
"ENSG00000174667.4",2.55827964391135,-0.0292436086289441,0.126652784436078,0.0500571975311743,0.822963775695115,0.914584161380285,"OR7D4","125958"
"ENSG00000248167.7",2.04472819208465,0.186625072891093,0.76050891639562,0.050022770077689,0.823023656874864,0.914584161380285,"TRIM39-RPP21","202658"
"ENSG00000074803.20",0.102131567797502,-0.117715692154175,0.924352932029137,0.0499409762603875,0.823166011273351,NA,"SLC12A1","6557"
"ENSG00000128000.16",62.5864891147275,0.0238123104174519,0.101939659652424,0.0499321323412119,0.823181410608116,0.914688553461762,"ZNF780B","163131"
"ENSG00000284461.2",15.7783018953972,0.0341157458037927,0.157815684339519,0.0498453281664979,0.823332633066948,0.914785672613103,NA,NA
"ENSG00000072694.21",0.23233265015165,0.103350426831135,0.375747196870178,0.0497223773222828,0.823547063779394,NA,"FCGR2B","2213"
"ENSG00000162415.7",68.5616900555246,0.00648701227060754,0.0290053148915913,0.0496701343165569,0.823638261712813,0.915054320523288,"ZSWIM5","57643"
"ENSG00000180535.3",0.854406427667102,-0.0428899506519936,0.241035431882876,0.0496680002074896,0.823641988187484,NA,"BHLHA15","168620"
"ENSG00000250722.6",0.546415622031374,-0.0323230924304816,0.237045124475356,0.049649580336677,0.823674155539421,NA,"SELENOP","6414"
"ENSG00000204099.11",0.0714110734733703,-0.146839232012572,1.02900850737917,0.0495930756905913,0.823772870941111,NA,"NEU4","129807"
"ENSG00000185974.7",0.0580933131504734,0.153481708535654,1.02929361834424,0.0495571974271911,0.823835582041787,NA,"GRK1","6011"
"ENSG00000276612.3",0.632496282947036,-0.381376217516887,1.02298648081166,0.0495538095228341,0.823841504942056,NA,NA,NA
"ENSG00000152763.17",8.63044786263865,0.0236750077093195,0.11198556983483,0.0494837977466887,0.823963950559622,0.915306064355016,"DNAI4","79819"
"ENSG00000087008.16",82.8584409747745,-0.0098382364891779,0.0456896957475805,0.0494674430058808,0.823992566934361,0.915306064355016,"ACOX3","8310"
"ENSG00000101958.14",0.0665367729687699,0.122934434309674,1.02892523161258,0.0494434365950696,0.824034580656258,NA,"GLRA2","2742"
